lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2,lagging_current_power_factor,leading_current_power_factor,nsm,mixed_type_col,usage_kwh
32.0,0.0,0.03,87.18,100.0,42300,636.0,56.95
5.4,0.0,0.0,63.68,100.0,20700,239.0,4.46
5.69,0.0,0.0,48.2,100.0,19800,675.0,3.13
4.28,0.0,0.0,75.97,100.0,27000,971.0,5.0
5.62,0.0,0.0,46.97,100.0,10800,111.0,2.99
14.51,0.0,0.02,94.23,100.0,74700,115.0,40.86
4.36,0.0,0.0,52.08,100.0,1800,274.0,2.66
50.9,0.0,0.04,84.87,100.0,41400,720.0,81.68
0.0,5.4,0.0,100.0,18.23,37800,126.0,3.17
0.0,5.4,0.0,100.0,13.46,72900,645.0,3.56
6.26,0.0,0.0,41.8,100.0,21600,596.0,2.88
0.0,5.4,0.05,100.0,22.82,32400,469.0,2.92
4.07,0.0,0.0,64.77,100.0,81000,563.0,3.46
3.49,0.0,0.0,71.41,100.0,9000,912.0,3.56
5.87,0.0,0.0014444884029029,47.05,100.0,11700,566.0,3.13
0.0,5.4,0.0,100.0,47.17,40500,664.0,3.06
21.42,0.0,0.03,93.18,100.0,36000,326.0,55.01
4.72,0.0,0.0,61.07,100.0,900,109.0,3.64
5.54,0.0,0.0,45.62,100.0,4500,738.0,2.84
9.79,5.4,0.02,96.26,97.42,47700,560.0,34.78
3.28,0.0,0.0,79.64,99.91,27000,613.0,4.32
17.39,0.0,0.02,95.07,100.0,50400,944.0,53.32
4.64,0.0,0.0,49.31,100.0,7200,787.0,2.63
31.46,0.0,0.03,91.94,100.0,70200,384.0,125.19
0.0,5.4,0.0,100.0,16.92,38700,285.0,2.99
4.54,0.0,0.0,58.91,100.0,20700,576.0,3.31
2.3,0.32,0.0,81.2,99.5,80100,412.0,3.2
7.49,0.0,0.0,54.12,100.0,27900,228.0,4.82
29.465,0.0,0.0221795887039993,92.22,100.0,57600,106.0,48.06
5.58,0.0,0.0,44.46,100.0,16200,306.0,2.77
5.72,0.0,0.0,50.54,100.0,19800,566.0,3.35
4.79,0.0,0.0,57.65,100.0,82800,223.0,3.38
3.49,0.0,0.0,62.71,100.0,31500,447.0,2.81
0.0,5.4,0.0,100.0,22.01,64800,708.0,3.89
2.16,0.18,0.0,83.75,100.0,29700,142.0,3.31
18.86,0.0,0.02,91.59,100.0,36900,891.0,43.02
54.885,0.0,0.05,87.11,100.0,41400,114.0,107.68
1.94,5.4,0.006530195176063,99.07,93.43,65700,281.0,14.15
3.2,0.04,0.0,76.32,99.99,5400,150.0,3.78
3.96,0.0,0.0,61.14,100.0,8100,997.0,3.06
4.68,0.0,0.0,63.89,100.0,18000,492.0,2.59
31.39,0.0,0.02,79.81,100.0,29700,740.0,41.58
5.69,0.0,0.0016290875598235,52.72,100.0,4500,657.0,3.53
4.07,0.0,0.0,66.97,100.0,27900,336.0,3.67
25.92,0.0,0.02,87.87,100.0,73800,88.0,47.7
49.64,0.0,0.05,91.11,100.0,48600,364.0,109.76
2.09,0.25,0.0,83.72,99.7,13500,610.0,3.2
5.11,0.0,0.0,49.1,100.0,85500,115.0,2.88
4.0,0.0,0.0,54.35,100.0,85500,336.0,2.59
0.0,5.4,0.0,100.0,19.08,72000,175.0,5.36
54.885,0.0,0.0,56.26,100.0,13500,556.0,2.77
54.885,0.0,0.04,79.8,100.0,31500,339.0,91.84
9.43,0.0,0.01,95.95,100.0,79200,902.0,32.11
4.75,0.0,0.0,85.44,100.0,28800,446.0,7.81
0.0,5.4,0.0,100.0,17.17,68400,776.0,3.74
4.82,0.0,0.0,50.36,100.0,6300,510.0,2.81
4.9,0.0,0.0,71.21,100.0,4500,134.0,4.97
4.86,0.0,0.0,47.03,100.0,26100,272.0,2.59
4.21,0.0,0.0,63.05,100.0,16200,136.0,3.42
25.38,0.0,0.05,90.49,100.0,60300,500.0,53.96
0.0,5.4,0.0,100.0,39.86,65700,129.0,3.46
