date,week_status,day_status_num,day_of_week,load_type,usage_kwh,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2,lagging_current_power_factor,leading_current_power_factor,nsm,mixed_type_col,day_of_week_raw,week_status_raw,load_type_raw,mixed_type_col_num,mixed_type_col_label
2018-01-01 00:00:00,Weekday,0,Monday,Light_Load,3.42,3.46,0.0,0.0,70.3,100.0,0,907,Monday,Weekday,Light_Load,907.0,
2018-01-01 00:15:00,Weekday,0,Monday,Light_Load,3.17,2.95,0.0,0.0014629483185950457,73.21,100.0,900,649,Monday,Weekday,Light_Load,649.0,
2018-01-01 00:30:00,Weekday,0,Monday,Light_Load,4.0,4.46,0.0,0.0,66.77,100.0,1800,,Monday,Weekday,Light_Load,,
2018-01-01 00:45:00,Weekday,0,Monday,Light_Load,3.24,3.28,0.0,0.0,70.28,100.0,2700,696,Monday,Weekday,Light_Load,696.0,
2018-01-01 01:00:00,Weekday,0,Monday,Light_Load,3.31,3.56,0.0,0.0,68.09,100.0,3600,630,Monday,Weekday,Light_Load,630.0,
2018-01-01 01:15:00,Weekday,0,Monday,Light_Load,3.82,4.5,0.0,0.0,64.72,100.0,4500,325,Monday,Weekday,Light_Load,325.0,
2018-01-01 01:30:00,Weekday,0,Monday,Light_Load,3.28,3.56,0.0,0.0,67.76,100.0,5400,300,Monday, wEEKDAY ,Light_Load,300.0,
2018-01-01 01:45:00,Weekday,0,Monday,Light_Load,3.6,4.14,0.0,0.0,65.62,100.0,6300,625,Monday,Weekday,Light_Load,625.0,
2018-01-01 02:00:00,Weekday,0,Monday,Light_Load,3.6,4.28,0.0,0.0,64.37,100.0,7200,419,Monday,Weekday,Light_Load,419.0,
2018-01-01 02:15:00,Weekday,0,Monday,Light_Load,3.28,3.64,0.0,0.0,66.94,100.0,8100,663, mONDAY ,Weekday,Light_Load,663.0,
